Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  <hasNoBio>  <NoEGFR>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.023994593,0.174447174,0.181585678,71,407,391,?a
?a  <hasNoBio>  <NoALK>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018925313,0.151351351,0.158640227,56,370,353,?a
?a  <hasToxicity>  <Analytcal_hepatica>   => ?a  <hasOncologicalTreatment>  <Radical>,0.018587361,0.242290749,0.244444444,55,227,225,?a
?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Radical>,0.023318689,0.276,0.281632653,69,250,245,?a
?a  <hasToxicity>  <NoToxicity>   => ?a  <hasOncologicalTreatment>  <Radical>,0.012504224,0.125,0.13028169,37,296,284,?a
?a  <hasToxicity>  <Renal>   => ?a  <hasOncologicalTreatment>  <Radical>,0.014193984,0.289655172,0.293706294,42,145,143,?a
?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Radical>,0.058465698,0.257440476,0.26172466,173,672,661,?a
?a  <hasToxicity>  <Allergy>   => ?a  <hasOncologicalTreatment>  <Radical>,0.025008449,0.275092937,0.275092937,74,269,269,?a
?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Radical>,0.036498817,0.272727273,0.275510204,108,396,392,?a
?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Radical>,0.047989186,0.396648045,0.401129944,142,358,354,?a
?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Radical>,0.065900642,0.273109244,0.279770445,195,714,697,?a
?a  <hasGender>  <Female>   => ?a  <hasOncologicalTreatment>  <Radical>,0.031091585,0.247311828,0.254847645,92,372,361,?a
?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Radical>,0.04697533,0.335748792,0.336561743,139,414,413,?a
?a  <hasToxicity>  <Endocrinas>   => ?a  <hasOncologicalTreatment>  <Radical>,0.018249409,0.255924171,0.259615385,54,211,208,?a
?a  <hasGender>  <Male>   => ?a  <hasOncologicalTreatment>  <Radical>,0.059479554,0.202298851,0.207302709,176,870,849,?a
?a  <hasOncologicalTreatment>  <Prophylactic>   => ?a  <hasOncologicalTreatment>  <Radical>,0.012504224,0.660714286,0.660714286,37,56,56,?a
?a  <hasOncologicalTreatment>  <Immunotherapy>   => ?a  <hasOncologicalTreatment>  <Radical>,0.021290977,0.297169811,0.297169811,63,212,212,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Radical>,0.046637377,0.679802956,0.679802956,138,203,203,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Radical>,0.086515715,0.266112266,0.266112266,256,962,962,?a
?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Radical>,0.037512673,0.226069246,0.230290456,111,491,482,?a
?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Radical>,0.045961473,0.222222222,0.228956229,136,612,594,?a
?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Radical>,0.037512673,0.185,0.18974359,111,600,585,?a
?a  <histologyLabel_ENG>  <small_cell_carcinoma_of_lung>   => ?a  <hasOncologicalTreatment>  <Radical>,0.020953025,0.285714286,0.295238095,62,217,210,?a
?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Radical>,0.024670497,0.233974359,0.238562092,73,312,306,?a
?a  <hasStage>  <IIIB>   => ?a  <hasOncologicalTreatment>  <Radical>,0.021290977,0.446808511,0.456521739,63,141,138,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Radical>,0.090571139,0.421383648,0.421383648,268,636,636,?a
?a  <hasStage>  <IV>   => ?a  <hasOncologicalTreatment>  <Radical>,0.010476512,0.108013937,0.113553114,31,287,273,?a
?a  <hasStage>  <IIIA>   => ?a  <hasOncologicalTreatment>  <Radical>,0.029739777,0.363636364,0.365145228,88,242,241,?a
?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Radical>,0.017573505,0.197718631,0.208,52,263,250,?a
?a  <hasBio>  <PDL1>   => ?a  <hasOncologicalTreatment>  <Radical>,0.010814464,0.228571429,0.23880597,32,140,134,?a
?a  <hasOncologicalSurgery>  <Lymph_node_excision>   => ?a  <hasOncologicalTreatment>  <Radical>,0.01351808,0.128205128,0.128617363,40,312,311,?a
?a  <hasNoBio>  <NoALK>   => ?a  <hasOncologicalTreatment>  <Radical>,0.026360257,0.210810811,0.220963173,78,370,353,?a
?a  <hasNoBio>  <NoEGFR>   => ?a  <hasOncologicalTreatment>  <Radical>,0.032105441,0.233415233,0.242966752,95,407,391,?a
?a  <hasOncologicalSurgery>  <Lobectomy>   => ?a  <hasOncologicalTreatment>  <Radical>,0.019601217,0.129175947,0.129175947,58,449,449,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Radical>,0.086853667,0.216148024,0.22193437,257,1189,1158,?a
?a  <hasOncologicalTreatment>  <Surgery>   => ?a  <hasOncologicalTreatment>  <Radical>,0.025684353,0.144486692,0.144486692,76,526,526,?a
?a  <hasToxicity>  <Analytcal_hepatica>   => ?a  <hasGender>  <Female>,0.051529791,0.281938326,0.281938326,64,227,227,?a
?a  <hasToxicity>  <Neurological>   => ?a  <hasGender>  <Female>,0.025764895,0.329896907,0.329896907,32,97,97,?a
?a  <hasToxicity>  <Endocrinas>   => ?a  <hasGender>  <Female>,0.072463768,0.426540284,0.426540284,90,211,211,?a
?a  <hasToxicity>  <Renal>   => ?a  <hasGender>  <Female>,0.02173913,0.186206897,0.186206897,27,145,145,?a
?a  <hasToxicity>  <General>   => ?a  <hasGender>  <Female>,0.06763285,0.336,0.336,84,250,250,?a
?a  <hasToxicity>  <NoToxicity>   => ?a  <hasGender>  <Female>,0.066827697,0.280405405,0.280405405,83,296,296,?a
?a  <hasToxicity>  <Analyticals>   => ?a  <hasGender>  <Female>,0.165056361,0.305059524,0.305059524,205,672,672,?a
?a  <hasToxicity>  <Pneumological>   => ?a  <hasGender>  <Female>,0.090982287,0.315642458,0.315642458,113,358,358,?a
?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasGender>  <Female>,0.098228663,0.308080808,0.308080808,122,396,396,?a
?a  <hasToxicity>  <Allergy>   => ?a  <hasGender>  <Female>,0.092592593,0.427509294,0.427509294,115,269,269,?a
?a  <hasToxicity>  <Asthensia>   => ?a  <hasGender>  <Female>,0.175523349,0.305322129,0.305322129,218,714,714,?a
?a  <hasToxicity>  <Cutaneas>   => ?a  <hasGender>  <Female>,0.115942029,0.347826087,0.347826087,144,414,414,?a
?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasGender>  <Female>,0.11352657,0.287169043,0.287169043,141,491,491,?a
?a  <hasStage>  <IIB>   => ?a  <hasGender>  <Female>,0.011272142,0.205882353,0.205882353,14,68,68,?a
?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasGender>  <Female>,0.035426731,0.141025641,0.141025641,44,312,312,?a
?a  <histologyLabel_ENG>  <small_cell_carcinoma_of_lung>   => ?a  <hasGender>  <Female>,0.050724638,0.290322581,0.290322581,63,217,217,?a
?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasGender>  <Female>,0.111916264,0.227124183,0.227124183,139,612,612,?a
?a  <hasStage>  <IA>   => ?a  <hasGender>  <Female>,0.026570048,0.314285714,0.314285714,33,105,105,?a
?a  <hasStage>  <IIIB>   => ?a  <hasGender>  <Female>,0.033011272,0.290780142,0.290780142,41,141,141,?a
?a  <hasStage>  <IVA>   => ?a  <hasGender>  <Female>,0.020128824,0.297619048,0.297619048,25,84,84,?a
?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasGender>  <Female>,0.185990338,0.385,0.385,231,600,600,?a
?a  <hasStage>  <IVB>   => ?a  <hasGender>  <Female>,0.037037037,0.383333333,0.383333333,46,120,120,?a
?a  <hasRace>  <Latin>   => ?a  <hasGender>  <Female>,0.014492754,0.486486486,0.486486486,18,37,37,?a
?a  <hasStage>  <IIIA>   => ?a  <hasGender>  <Female>,0.054750403,0.280991736,0.280991736,68,242,242,?a
?a  <hasSmokingHabit>  <NonSmoker>   => ?a  <hasGender>  <Female>,0.072463768,0.681818182,0.681818182,90,132,132,?a
?a  <hasStage>  <IV>   => ?a  <hasGender>  <Female>,0.072463768,0.31358885,0.31358885,90,287,287,?a
?a  <hasOncologicalTreatment>  <Adjuvant>   => ?a  <hasGender>  <Female>,0.020128824,0.416666667,0.416666667,25,60,60,?a
?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasGender>  <Female>,0.074074074,0.343283582,0.343283582,92,268,268,?a
?a  <hasStage>  <IB>   => ?a  <hasGender>  <Female>,0.020933977,0.273684211,0.273684211,26,95,95,?a
?a  <hasOncologicalTreatment>  <Immunotherapy>   => ?a  <hasGender>  <Female>,0.05958132,0.349056604,0.349056604,74,212,212,?a
?a  <hasOncologicalTreatment>  <Prophylactic>   => ?a  <hasGender>  <Female>,0.016908213,0.375,0.375,21,56,56,?a
?a  <hasOncologicalSurgery>  <Lymph_node_excision>   => ?a  <hasGender>  <Female>,0.077294686,0.307692308,0.307692308,96,312,312,?a
?a  <hasOncologicalSurgery>  <Pleurodesis>   => ?a  <hasGender>  <Female>,0.012077295,0.283018868,0.283018868,15,53,53,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasGender>  <Female>,0.28099839,0.29352397,0.29352397,349,1189,1189,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasGender>  <Female>,0.176328502,0.344339623,0.344339623,219,636,636,?a
?a  <hasOncologicalSurgery>  <Pneumonectomy>   => ?a  <hasGender>  <Female>,0.014492754,0.246575342,0.246575342,18,73,73,?a
?a  <hasNoBio>  <NoPDL1>   => ?a  <hasGender>  <Female>,0.023349436,0.287128713,0.287128713,29,101,101,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasGender>  <Female>,0.238325282,0.307692308,0.307692308,296,962,962,?a
?a  <hasNoBio>  <NoBRAF>   => ?a  <hasGender>  <Female>,0.022544283,0.233333333,0.233333333,28,120,120,?a
?a  <hasNoBio>  <NoROS1>   => ?a  <hasGender>  <Female>,0.066827697,0.315589354,0.315589354,83,263,263,?a
?a  <hasOncologicalSurgery>  <Lobectomy>   => ?a  <hasGender>  <Female>,0.103059581,0.285077951,0.285077951,128,449,449,?a
?a  <hasBio>  <PDL1>   => ?a  <hasGender>  <Female>,0.045088567,0.4,0.4,56,140,140,?a
?a  <hasNoBio>  <NoALK>   => ?a  <hasGender>  <Female>,0.09178744,0.308108108,0.308108108,114,370,370,?a
?a  <hasNoBio>  <NoEGFR>   => ?a  <hasGender>  <Female>,0.098228663,0.2997543,0.2997543,122,407,407,?a
?a  <hasOncologicalTreatment>  <Surgery>   => ?a  <hasGender>  <Female>,0.128824477,0.30418251,0.30418251,160,526,526,?a
?a  <hasBio>  <ALK>   => ?a  <hasGender>  <Female>,0.012077295,0.454545455,0.454545455,15,33,33,?a
?a  <hasBio>  <EGFR>   => ?a  <hasGender>  <Female>,0.041867955,0.626506024,0.626506024,52,83,83,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>   => ?a  <hasGender>  <Female>,0.050724638,0.310344828,0.310344828,63,203,203,?a
?a  <hasToxicity>  <Analytcal_hepatica>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.030753633,0.400881057,0.404444444,91,227,225,?a
?a  <hasToxicity>  <Neurological>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.01351808,0.412371134,0.412371134,40,97,97,?a
?a  <hasToxicity>  <Endocrinas>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.031767489,0.44549763,0.451923077,94,211,208,?a
?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.025008449,0.296,0.302040816,74,250,245,?a
?a  <hasToxicity>  <Renal>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.018587361,0.379310345,0.384615385,55,145,143,?a
?a  <hasToxicity>  <NoToxicity>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.045623521,0.456081081,0.475352113,135,296,284,?a
?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.043257857,0.357541899,0.361581921,128,358,354,?a
?a  <hasToxicity>  <Allergy>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.045285569,0.498141264,0.498141264,134,269,269,?a
?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.052382562,0.374396135,0.375302663,155,414,413,?a
?a  <hasGender>  <Male>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.123690436,0.420689655,0.431095406,366,870,849,?a
?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.025684353,0.28358209,0.28358209,76,268,268,?a
?a  <hasOncologicalTreatment>  <Adjuvant>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.015883745,0.783333333,0.783333333,47,60,60,?a
?a  <hasOncologicalTreatment>  <Immunotherapy>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.018925313,0.264150943,0.264150943,56,212,212,?a
?a  <hasGender>  <Female>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.054072322,0.430107527,0.443213296,160,372,361,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.018925313,0.275862069,0.275862069,56,203,203,?a
?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.089895235,0.395833333,0.402420575,266,672,661,?a
?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.082122339,0.340336134,0.348637016,243,714,697,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.106116931,0.326403326,0.326403326,314,962,962,?a
?a  <hasSmokingHabit>  <NonSmoker>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.019263265,0.431818182,0.448818898,57,132,127,?a
?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.065900642,0.397148676,0.404564315,195,491,482,?a
?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.05035485,0.376262626,0.380102041,149,396,392,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.060155458,0.279874214,0.279874214,178,636,636,?a
?a  <hasStage>  <IIA>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.016897601,0.980392157,0.980392157,50,51,51,?a
?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.091584995,0.442810458,0.456228956,271,612,594,?a
?a  <hasStage>  <IIB>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.020277121,0.882352941,0.882352941,60,68,68,?a
?a  <hasStage>  <IA>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.034471105,0.971428571,0.971428571,102,105,105,?a
?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.05542413,0.525641026,0.535947712,164,312,306,?a
?a  <hasOncologicalSurgery>  <Pneumonectomy>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.020615073,0.835616438,0.835616438,61,73,73,?a
?a  <hasStage>  <IIIA>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.049678946,0.607438017,0.609958506,147,242,241,?a
?a  <hasStage>  <IB>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.030753633,0.957894737,0.957894737,91,95,95,?a
?a  <hasNoBio>  <NoBRAF>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.019939169,0.491666667,0.5,59,120,118,?a
?a  <hasOncologicalSurgery>  <Lymph_node_excision>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.097330179,0.923076923,0.926045016,288,312,311,?a
?a  <hasNoBio>  <NoRET>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.01351808,0.769230769,0.784313725,40,52,51,?a
?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.032443393,0.365019011,0.384,96,263,250,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Surgery>,0.171341669,0.426408747,0.437823834,507,1189,1158,?a
